1.CodigoDeArticulo,Código del Departamento ,Código de Familia,2.CodigoDeCelda,3.StockB,4.StockA,5.Stock,6.ALM,7.stock,8.almacen,9.Familia,10.Subfamilia,11.Descripcion,12:Empresa,13.TipoCelda,14.Clasificacion
MXF0065,COTY,MAXFACTOR,VALL.G.03.37.03,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.40.03,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.46.03,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.47.03,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.39.03,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.44.02,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.39.02,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.37.02,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.41.02,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.42.03,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.45.02,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.40.02,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0065,COTY,MAXFACTOR,VALL.G.03.44.03,0,00,0,00,2,00,MAXFACTOR,MUEBLES,MXF_MUEBLE_ATILA MAX FACTOR 120 CON LUZ FOOD,GALAN,,P1
MXF0095,COTY,MAXFACTOR,VALL.G.05.37.02,0,00,0,00,3,00,MAXFACTOR,MUEBLES,MAXFACTOR_MUEBLE_ATILA SIN LUZ 560 (PRIMACAT),GALAN,,P1
MXF0095,COTY,MAXFACTOR,VALL.G.05.38.02,0,00,0,00,3,00,MAXFACTOR,MUEBLES,MAXFACTOR_MUEBLE_ATILA SIN LUZ 560 (PRIMACAT),GALAN,,P1
MXF0095,COTY,MAXFACTOR,VALL.G.05.39.02,0,00,0,00,3,00,MAXFACTOR,MUEBLES,MAXFACTOR_MUEBLE_ATILA SIN LUZ 560 (PRIMACAT),GALAN,,P1
MXF0095,COTY,MAXFACTOR,VALL.G.05.37.01,0,00,0,00,1,00,MAXFACTOR,MUEBLES,MAXFACTOR_MUEBLE_ATILA SIN LUZ 560 (PRIMACAT),GALAN,,P1
RMM0043,COTY,RIMMEL ,VALL.G.01.03.02,0,00,0,00,1,00,RIMMEL ,MUEBLES,RIM_MUEBLE_ATILA RIMMEL 098 CON LUZ FOOD,GALAN,,P1
RMM0043,COTY,RIMMEL ,VALL.G.01.04.02,0,00,0,00,1,00,RIMMEL ,MUEBLES,RIM_MUEBLE_ATILA RIMMEL 098 CON LUZ FOOD,GALAN,,P1
MFE560001001,COTY,MAXFACTOR,VALL.G.02.31.01,0,00,0,00,1,00,MAXFACTOR,MUEBLES,MXF MUEBLE GONDOLA 2M DIAM H2 FY23,GALAN,,P3
0001,FLORMAR,,TALLER,0,00,0,00,1,00,,MUEBLES,FLORMAR_MUEBLE_WALL UNIT 1M (4 CAJAS TESTERS),GALAN,PALPL,SP
0006,FLORMAR,,TALLER,0,00,0,00,3,00,,MUEBLES,GONDOLA 2M,GALAN,PALPL,SP
003-00029,APPLE,,APPLE.03,0,00,0,00,167,00,,ELEMENTOS,MTI VHB Adhesive Removal Tool,GALAN,,SP
003-0094-00,APPLE,,X,0,00,0,00,9,00,,ELEMENTOS,VHB Removal Tool,GALAN,,SP
003-0094-00,APPLE,,APPLE.08,0,00,0,00,55,00,,ELEMENTOS,VHB Removal Tool,GALAN,,SP
003-0094-00,APPLE,,AL.11,0,00,0,00,6,00,,ELEMENTOS,VHB Removal Tool,GALAN,,SP
003-0146-00,APPLE,,APPLE.01,0,00,0,00,3,00,,ELEMENTOS,MTI TOLL 3.0,GALAN,,SP
010724-2DAPPLE,APPLE,,AL.09,0,00,0,00,1,00,,ELEMENTOS,Comparison iPad 010724,GALAN,,SP
017058504,COTY,RIMMEL ,VALL.G.06.01.02,0,00,0,00,27,00,RIMMEL ,ELEMENTOS,MAXFACTOR_PORTAVISUAL_BANDEJA FOOD,GALAN,,SP
017058508,COTY,RIMMEL,VALL.G.05.04.03,0,00,0,00,1,00,RIMMEL,ELEMENTOS,RIMMEL_BANDEJA_CUBILETE,GALAN,,SP
020525.1,COTY,RIMMEL,TAULA2,0,00,0,00,8,00,RIMMEL,ELEMENTOS,VISUAL PRIMER E ILUMINADOR MULTITASKER H2FY25,GALAN,,SP
040624-AS ARVATO,APPLE,,AL.09,0,00,0,00,1,00,,ELEMENTOS,Entrada Arvato sin ID 040624,GALAN,,SP
050924-PEAK,APPLE,,AL.09,0,00,0,00,1,00,,ELEMENTOS,Entrada Arvato 3.0 Peak 050924,GALAN,,SP
